"Representative","Office Running For","Total Raised"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$98665"
"Joel Hefley (R-Colo) ","Colorado District 05","$95227"
"Jim Barcia (D-Mich) ","Michigan District 05","$88019"
"Tom Barrett (D-Wis) ","Wisconsin District 05","$74839"
"Joe Skeen (R-NM) ","New Mexico District 02","$67010"
"Van Hilleary (R-Tenn) ","Tennessee District 04","$49377"
"Bob Schaffer (R-Colo) ","Colorado District 04","$32408"
"Robert A. Underwood (D-Guam) ","Guam District 00","$14420"
"William J. Coyne (D-Pa) ","Pennsylvania District 14","$10750"
"Dan Miller (R-Fla) ","Florida District 13","$10236"
"Tim Roemer (D-Ind) ","Indiana District 02Current office: Indiana District 03","$8076"
"Steve Horn (R-Calif) ","California District 39Current office: California District 38","$4638"
"John Baldacci (D-Maine) ","Maine District 02","$3206"
